index	  h	  k	  l	 Ug_real  	 Ug_imag  	Vg_real(V)	Vg_imag(V)	 |Vg|(V)   	phi(rad)
110	  4	 -5	  0	-0.000151	 0.000000	-0.018358	 0.000000	 0.018358	 3.141589
111	  3	  6	  0	-0.000110	-0.000000	-0.013369	-0.000000	 0.013369	-3.141590
112	  4	  5	  0	-0.000151	 0.000000	-0.018358	 0.000000	 0.018358	 3.141588
113	 -5	  0	  0	-0.000430	-0.000000	-0.052360	-0.000000	 0.052360	-3.141586
114	 -5	  1	  0	 0.008896	-0.000000	 1.083645	-0.000000	 1.083645	-0.000000
115	 -5	 -1	  0	 0.008896	-0.000000	 1.083645	-0.000000	 1.083645	-0.000000
116	 -5	  2	  0	-0.000342	-0.000000	-0.041708	-0.000000	 0.041708	-3.141592
117	 -5	 -2	  0	-0.000342	-0.000000	-0.041708	-0.000001	 0.041708	-3.141579
118	 -5	 -3	  0	 0.006725	-0.000000	 0.819151	-0.000001	 0.819151	-0.000001
119	 -5	  3	  0	 0.006725	-0.000000	 0.819151	-0.000000	 0.819151	-0.000000
120	 -5	 -4	  0	-0.000151	-0.000000	-0.018358	-0.000000	 0.018358	-3.141588
121	 -5	  4	  0	-0.000151	 0.000000	-0.018358	 0.000000	 0.018358	 3.141589
122	 -4	 -6	  0	 0.009197	 0.000000	 1.120240	 0.000000	 1.120240	 0.000000
123	 -5	 -5	  0	 0.004489	 0.000000	 0.546784	 0.000000	 0.546784	 0.000000
124	 -4	  6	  0	 0.009197	 0.000000	 1.120240	 0.000000	 1.120240	 0.000000
125	 -5	  5	  0	 0.004489	 0.000000	 0.546784	 0.000000	 0.546784	 0.000000
126	  5	  0	  0	-0.000430	 0.000000	-0.052360	 0.000000	 0.052360	 3.141586
127	  5	  1	  0	 0.008896	 0.000000	 1.083645	 0.000000	 1.083645	 0.000000
128	  5	 -1	  0	 0.008896	 0.000000	 1.083645	 0.000000	 1.083645	 0.000000
129	  5	  2	  0	-0.000342	 0.000000	-0.041708	 0.000001	 0.041708	 3.141579
130	  5	 -2	  0	-0.000342	 0.000000	-0.041708	 0.000000	 0.041708	 3.141592
131	  5	 -3	  0	 0.006725	 0.000000	 0.819151	 0.000000	 0.819151	 0.000000
132	  5	  3	  0	 0.006725	 0.000000	 0.819151	 0.000001	 0.819151	 0.000001
133	  5	 -4	  0	-0.000151	-0.000000	-0.018358	-0.000000	 0.018358	-3.141589
134	  5	  4	  0	-0.000151	 0.000000	-0.018358	 0.000000	 0.018358	 3.141588
135	  4	 -6	  0	 0.009197	-0.000000	 1.120240	-0.000000	 1.120240	-0.000000
136	  5	 -5	  0	 0.004489	 0.000000	 0.546784	 0.000000	 0.546784	 0.000000
137	  4	  6	  0	 0.009197	-0.000000	 1.120240	-0.000000	 1.120240	-0.000000
138	  5	  5	  0	 0.004489	-0.000000	 0.546784	-0.000000	 0.546784	-0.000000
139	 -6	  0	  0	 0.013210	-0.000000	 1.609101	-0.000000	 1.609101	-0.000000
140	 -6	  1	  0	-0.000203	-0.000000	-0.024717	-0.000000	 0.024717	-3.141585
141	 -6	 -1	  0	-0.000203	-0.000000	-0.024717	-0.000000	 0.024717	-3.141579
142	 -6	  2	  0	 0.011914	-0.000000	 1.451179	-0.000000	 1.451179	-0.000000
143	 -6	 -2	  0	 0.011914	-0.000000	 1.451179	-0.000000	 1.451179	-0.000000
144	 -6	 -3	  0	-0.000110	 0.000000	-0.013369	 0.000000	 0.013369	 3.141590
145	 -6	  3	  0	-0.000110	-0.000000	-0.013369	-0.000000	 0.013369	-3.141593
146	 -6	 -4	  0	 0.009197	 0.000000	 1.120240	 0.000000	 1.120240	 0.000000
147	 -6	  4	  0	 0.009197	-0.000000	 1.120240	-0.000000	 1.120240	-0.000000
148	  6	  0	  0	 0.013210	 0.000000	 1.609101	 0.000000	 1.609101	 0.000000
149	  6	  1	  0	-0.000203	 0.000000	-0.024717	 0.000000	 0.024717	 3.141579
150	  6	 -1	  0	-0.000203	 0.000000	-0.024717	 0.000000	 0.024717	 3.141585
151	  6	  2	  0	 0.011914	 0.000000	 1.451179	 0.000000	 1.451179	 0.000000
152	  6	 -2	  0	 0.011914	 0.000000	 1.451179	 0.000000	 1.451179	 0.000000
153	  6	 -3	  0	-0.000110	 0.000000	-0.013369	 0.000000	 0.013369	 3.141593
154	  6	  3	  0	-0.000110	-0.000000	-0.013369	-0.000000	 0.013369	-3.141590
155	  6	 -4	  0	 0.009197	 0.000000	 1.120240	 0.000000	 1.120240	 0.000000
156	  6	  4	  0	 0.009197	-0.000000	 1.120240	-0.000000	 1.120240	-0.000000
