index	beams	T	ik_x	ik_y	thetaX_mrad	thetaY_mrad
339	45	9.98008	8	-11	-32.09460	41.56920
340	45	9.98195	9	-12	-33.26170	45.00430
341	45	9.98399	9	-12	-34.36050	48.55960
342	45	9.98616	9	-13	-35.45910	52.11430
343	45	9.98846	9	-14	-36.46120	55.69800
344	45	9.99091	10	-15	-37.55930	59.25110
345	45	9.9935	10	-16	-38.65710	62.80330
346	45	9.99285	9	-16	-34.90170	63.96390
347	45	9.99026	9	-16	-33.80380	60.41170
348	45	9.98782	8	-15	-32.80200	56.82880
349	45	9.98551	8	-14	-31.70370	53.27490
350	45	9.98334	8	-13	-30.60510	49.72030
351	45	9.98129	8	-12	-29.41000	46.19470
352	45	9.97939	7	-11	-28.31100	42.63870
353	45	9.97769	7	-10	-27.33630	39.14350
354	45	9.97607	7	-9	-26.23690	35.58640
355	45	9.97457	6	-8	-25.04110	32.05850
356	45	9.97323	6	-7	-23.94150	28.50050
357	45	9.97202	6	-6	-22.84170	24.94210
358	45	9.97097	6	-5	-21.83820	21.35360
359	45	9.97006	5	-5	-20.76640	17.88580
360	45	9.96925	5	-4	-19.57010	14.35630
361	45	9.9686	5	-3	-18.47010	10.79700
362	45	9.96808	4	-2	-17.37000	 7.23750
363	45	9.96772	4	-1	-16.36620	 3.64810
364	45	9.96748	4	0	-15.26610	 0.08860
365	45	9.96736	4	1	-14.06970	-3.44110
366	45	9.9674	3	2	-12.96970	-7.00050
367	45	9.96758	3	3	-11.86970	-10.55970
368	45	9.9679	3	4	-10.86600	-14.14850
369	45	9.96836	3	5	-9.76620	-17.70730
370	45	9.96891	2	5	-8.59830	-21.14470
371	45	9.96964	2	6	-7.49870	-24.70270
372	45	9.97052	2	7	-6.49550	-28.29010
373	45	9.97152	1	8	-5.39610	-31.84720
374	45	9.97266	1	9	-4.29700	-35.40380
375	45	9.97394	1	10	-3.19800	-38.95980
376	45	9.9753	1	11	-2.03100	-42.39420
377	45	9.97687	0	12	-1.02870	-45.97860
378	45	9.97856	0	13	 0.06960	-49.53260
379	45	9.98038	0	14	 1.16770	-53.08560
380	45	9.98234	-1	15	 2.36190	-56.60810
381	45	9.98185	-2	14	 6.11750	-55.44740
382	45	9.97988	-1	13	 5.01970	-51.89520
383	45	9.97806	-1	12	 3.82530	-48.37180
384	45	9.97637	-1	12	 2.72690	-44.81790
385	45	9.97486	0	11	 1.65650	-41.35440
386	45	9.97343	0	10	 0.65400	-37.76930
387	45	9.97217	0	9	-0.54130	-34.24310
388	45	9.97103	0	8	-1.64050	-30.68650
389	45	9.97002	1	7	-2.73980	-27.12940
390	45	9.96916	1	6	-3.83930	-23.57180
391	45	9.96844	1	5	-4.81450	-20.07520
392	45	9.96786	2	4	-6.01050	-16.54650
393	45	9.96741	2	3	-7.11040	-12.98780
394	45	9.96709	2	2	-8.23850	-9.33750
395	45	9.96692	2	1	-9.33850	-5.77830
396	45	9.96687	3	1	-10.31410	-2.28040
397	45	9.96699	3	0	-11.51040	 1.24930
398	45	9.96723	3	-1	-12.61050	 4.80890
399	45	9.9676	4	-2	-13.71060	 8.36840
400	45	9.96812	4	-3	-14.81070	11.92790
401	45	9.96876	4	-4	-15.81450	15.51710
402	45	9.96956	4	-5	-16.91450	19.07630
403	45	9.97048	5	-6	-18.08250	22.51430
404	45	9.97154	5	-7	-19.18240	26.07300
405	45	9.97275	5	-8	-20.28210	29.63140
406	45	9.97408	5	-9	-21.28540	33.21920
407	45	9.97557	6	-9	-22.48130	36.74710
408	45	9.9772	6	-10	-23.58060	40.30420
409	45	9.97891	6	-11	-24.65160	43.76960
410	45	9.98086	7	-12	-25.77880	47.41680
411	45	9.98283	7	-13	-26.75310	50.91080
412	45	9.98501	7	-14	-27.94800	54.43570
413	45	9.98739	7	-15	-29.07450	58.08070
414	45	9.98984	8	-16	-30.17260	61.63370
415	45	9.99237	8	-17	-31.24230	65.09490
416	45	9.99202	7	-17	-27.48650	66.25570
417	45	9.98943	7	-16	-26.38860	62.70340
418	45	9.98704	7	-15	-25.31870	59.24140
419	45	9.98473	6	-14	-24.22030	55.68750
420	45	9.98255	6	-13	-23.12180	52.13290
421	45	9.98051	6	-12	-22.02300	48.57760
422	45	9.97862	5	-12	-20.92400	45.02160
423	45	9.97681	5	-11	-19.79660	41.37380
424	45	9.97523	5	-10	-18.72540	37.90790
425	45	9.97375	5	-9	-17.62590	34.35020
426	45	9.97241	4	-8	-16.52630	30.79220
427	45	9.9712	4	-7	-15.42650	27.23380
428	45	9.97014	4	-6	-14.32670	23.67500
429	45	9.96921	3	-5	-13.22670	20.11600
430	45	9.96844	3	-4	-12.15490	16.64810
431	45	9.96778	3	-3	-11.05490	13.08870
432	45	9.96726	3	-2	-9.95480	 9.52920
433	45	9.96689	2	-2	-8.85470	 5.96960
434	45	9.96665	2	-1	-7.75460	 2.41010
435	45	9.96655	2	0	-6.68270	-1.05820
436	45	9.96658	1	1	-5.58270	-4.61750
437	45	9.96675	1	2	-4.48270	-8.17680
438	45	9.96706	1	3	-3.38270	-11.73580
439	45	9.96751	1	4	-2.28290	-15.29450
440	45	9.9681	0	5	-1.18310	-18.85300
441	45	9.96882	0	6	-0.08350	-22.41100
442	45	9.96968	0	7	 1.01600	-25.96860
443	45	9.97069	-1	8	 2.11540	-29.52570
444	45	9.97183	-1	9	 3.21450	-33.08230
445	45	9.9731	-1	9	 4.31350	-36.63830
446	45	9.97452	-1	10	 5.41230	-40.19370
447	45	9.97603	-2	11	 6.48280	-43.65720
448	45	9.97772	-2	12	 7.67740	-47.18130
449	45	9.97955	-2	13	 8.67920	-50.76420
450	45	9.98152	-3	14	 9.77710	-54.31640
451	45	9.98133	-3	14	13.53300	-53.15560
452	45	9.97937	-3	13	12.43520	-49.60340
453	45	9.97754	-3	12	11.33710	-46.05030
454	45	9.97589	-3	11	10.26690	-42.58750
455	45	9.97433	-2	10	 9.16830	-39.03290
456	45	9.97292	-2	9	 8.06950	-35.47750
457	45	9.97164	-2	8	 6.97050	-31.92150
458	45	9.9705	-2	7	 5.87130	-28.36490
459	45	9.9695	-1	6	 4.77190	-24.80780
460	45	9.96864	-1	5	 3.67240	-21.25020
461	45	9.96791	-1	5	 2.57280	-17.69220
462	45	9.96732	0	4	 1.47310	-14.13370
463	45	9.96688	0	3	 0.37320	-10.57500
464	45	9.96657	0	2	-0.72670	-7.01600
465	45	9.96639	0	1	-1.82670	-3.45670
466	45	9.96636	1	0	-2.89860	 0.01140
467	45	9.96646	1	-1	-3.99870	 3.57090
